Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
54969	Production Technology and Management Thesis	9-18	A	TBA			TBA	Pittsburgh, Pennsylvania	Boevers
54972	Graduate PTM Professional Practice	3.0	A2	TR	01:30PM	02:50PM	PCA 209	Pittsburgh, Pennsylvania	Boevers
54987	Costume Design Thesis	9-21	A	TBA			TBA	Pittsburgh, Pennsylvania	Tsu, Sissons
54993	Sound Design Thesis	9-21	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Pino, Pickett
54995	Internship	9-40	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
54997	Graduate Special Topics in Sound Design	9.0	A	MW	03:00PM	04:20PM	PCA A21	Pittsburgh, Pennsylvania	Pickett
Economics	 	 	 	 	 	 	 	 	 	 
73050	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
73100	Principles of Economics	9.0	Lec 1	MW	11:30AM	12:20PM	DH 2210	Pittsburgh, Pennsylvania	Sleet, Yenmez
 	 	 	A	F	11:30AM	12:20PM	DH 1117	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	F	11:30AM	12:20PM	SH 219	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	F	11:30AM	12:20PM	PH A18B	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	F	11:30AM	12:20PM	DH 1217	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	F	11:30AM	12:20PM	PH A18A	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	F	11:30AM	12:20PM	WEH 5403	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	F	11:30AM	12:20PM	DH 1211	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	MW	12:30PM	01:20PM	DH 2210	Pittsburgh, Pennsylvania	Sleet, Yenmez
 	 	 	H	F	12:30PM	01:20PM	HBH 1004	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	I	F	12:30PM	01:20PM	BH A53	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	J	F	12:30PM	01:20PM	SH 219	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	K	F	12:30PM	01:20PM	DH 1217	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	L	F	12:30PM	01:20PM	GHC 4211	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	M	F	12:30PM	01:20PM	BH 235B	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 3	UT	01:30PM	02:20PM	TBA	Doha, Qatar	Calabrese
 	 	 	W	R	01:30PM	02:20PM	TBA	Doha, Qatar	Calabrese
 	 	 	X	R	01:30PM	02:20PM	TBA	Doha, Qatar	Calabrese
 	 	 	Y	R	01:30PM	02:20PM	TBA	Doha, Qatar	Calabrese
73101	Freshman Seminar	9.0	A	TR	01:30PM	02:50PM	TBD TBD	Pittsburgh, Pennsylvania	Instructor TBA
73111	Internship I	1-3	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73112	Internship II	3.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73230	Intermediate Microeconomics	9.0	Lec 1	MW	09:00AM	10:20AM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	A	F	09:00AM	10:20AM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	F	09:00AM	10:20AM	PH A18B	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	MW	10:30AM	11:50AM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	F	10:30AM	11:50AM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	F	10:30AM	11:50AM	WEH 4623	Pittsburgh, Pennsylvania	Instructor TBA
73240	Intermediate Macroeconomics	9.0	Lec 1	MW	01:30PM	02:50PM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	A	F	01:30PM	02:50PM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	F	01:30PM	02:50PM	WEH 5415	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	MW	03:00PM	04:20PM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	F	03:00PM	04:20PM	POS MN AUD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	F	03:00PM	04:20PM	GHC 4211	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 3	UT	09:30AM	10:20AM	CMB 2152	Doha, Qatar	Calabrese
 	 	 	W	R	09:30AM	10:20AM	CMB 1064	Doha, Qatar	Calabrese
 	 	 	X	R	09:30AM	10:20AM	CMB 2152	Doha, Qatar	Calabrese
73255	Independent Study	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	TBA
73270	Writing for Economists	9.0	A	TR	12:00PM	01:20PM	HBH 1004	Pittsburgh, Pennsylvania	Instructor TBA
73302	Economics Elective Transfer Credits	9-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73303	Upper Level Economics Elective Transfer Credit	9-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73304	Upper Level Economics Elective Transfer Credit	9-12	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73305	Upper Level Economics Elective Transfer Credit	9-12	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
73310	Evolution of Economic Ideas and Analysis	9.0	A	TR	09:00AM	10:20AM	CFA 102	Pittsburgh, Pennsylvania	McCallum
73347	Game Theory for Economists	9.0	A	MW	09:00AM	10:20AM	PH A18B	Pittsburgh, Pennsylvania	Hafalir
73352	Public Economics	9.0	A	MW	01:30PM	02:50PM	DH 1117	Pittsburgh, Pennsylvania	Fong
73359	Benefit-Cost Analysis	9.0	A	M	06:30PM	09:20PM	SH 219	Pittsburgh, Pennsylvania	Rueter
 	 	 	W	MW	03:00PM	04:20PM	TBA	Doha, Qatar	Calabrese
73363	Econometrics	9.0	A	MWF	12:00PM	01:20PM	WEH 5421	Pittsburgh, Pennsylvania	Instructor TBA
73401	Study Abroad Upper Level Economics Elective	9-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73402	Study Aboard Upper Level Economics Elective	9-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73403	Study Aboard Upper Level Economics Elective	9-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73404	Study Aboard Upper Level Economics Elective	9-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
73421	Emerging Markets	9.0	A	MW	03:00PM	04:20PM	WEH 4709	Pittsburgh, Pennsylvania	Instructor TBA
73449	Social, Economic and Information Networks	9.0	A	MW	12:00PM	01:20PM	DH 1209	Pittsburgh, Pennsylvania	Anderson
73450	Economics Colloquium	1.0	A	M	03:30PM	04:20PM	PH A21	Pittsburgh, Pennsylvania	Instructor TBA
73469	Global Electronic Markets: Economics and the Internet	9.0	A	TR	10:30AM	11:50AM	POS MN AUD	Pittsburgh, Pennsylvania	Spear
73495	Advanced Independent Study in Economics	1-18	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
73497	Senior Project	9.0	A	TR	03:00PM	04:20PM	SH 219	Pittsburgh, Pennsylvania	Instructor TBA
73500	Tepper College Honors Thesis I	3-18	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
Electrical & Computer Engineering	 	 	 	 	 	 	 	 	 	 
18050	Study Abroad	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
18090	Introduction to Signal Processing for Creative Practice	10.0	Lec	MW	09:00AM	10:20AM	TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	A	F	11:00AM	12:50PM	TBA	Pittsburgh, Pennsylvania	Instructor TBA
18100	Introduction to Electrical and Computer Engineering	12.0	Lec	TR	01:30PM	02:50PM	PH 100	Pittsburgh, Pennsylvania	Sullivan
 	 	 	A	M	11:30AM	12:20PM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	M	06:30PM	09:20PM	HH A101	Pittsburgh, Pennsylvania
 	 	 	B	M	12:30PM	01:20PM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	T	06:30PM	09:20PM	HH A101	Pittsburgh, Pennsylvania
 	 	 	C	M	01:30PM	02:20PM	SH 208	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	W	06:30PM	09:20PM	HH A101	Pittsburgh, Pennsylvania
 	 	 	D	M	02:30PM	03:20PM	TBD TBD	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	R	06:30PM	09:20PM	HH A101	Pittsburgh, Pennsylvania
 	 	 	E	M	03:30PM	04:20PM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	01:30PM	04:20PM	HH A101	Pittsburgh, Pennsylvania
18200	Emerging Trends in Electrical and Computer Engineering	1.0	A1	TR	03:30PM	04:20PM	DH 2210	Pittsburgh, Pennsylvania	Marculescu, Kovacevic
18202	Mathematical Foundations of Electrical Engineering	12.0	Lec	MW	09:00AM	10:20AM	CIC 1201	Pittsburgh, Pennsylvania	Moura
 	 	 	A	R	10:30AM	11:20AM	PH A19	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	10:30AM	11:20AM	PH 226A	Pittsburgh, Pennsylvania
 	 	 	B	R	11:30AM	12:20PM	PH A19	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	11:30AM	12:20PM	PH 226A	Pittsburgh, Pennsylvania
 	 	 	C	R	12:30PM	01:20PM	GHC 4101	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	12:30PM	01:20PM	PH 226A	Pittsburgh, Pennsylvania
 	 	 	D	R	01:30PM	02:20PM	PH A19C	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	01:30PM	02:20PM	PH 226A	Pittsburgh, Pennsylvania
18213	Introduction to Computer Systems	12.0	Lec 1	TR	01:30PM	02:50PM	DH 2315	Pittsburgh, Pennsylvania	O'Hallaron, Ganger
 	 	 	A	M	10:30AM	11:20AM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	B	M	10:30AM	11:20AM	PH 226B	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	C	M	11:30AM	12:20PM	SH 220	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	D	M	12:30PM	01:20PM	DH 2105	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	E	M	01:30PM	02:20PM	PH A19	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	F	M	01:30PM	02:20PM	WEH 5302	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	G	M	02:30PM	03:20PM	WEH 5302	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	H	M	03:30PM	04:20PM	PH 125C	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	Lec 2	TR	06:30PM	07:50PM	WEH 7500	Pittsburgh, Pennsylvania	Kesden
 	 	 	I	M	10:30AM	11:20AM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	J	M	11:30AM	12:20PM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	K	M	12:30PM	01:20PM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	L	M	01:30PM	02:20PM	WEH 5310	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	M	M	02:30PM	03:20PM	PH 226B	Pittsburgh, Pennsylvania	Instructor TBA
18220	Electronic Devices and Analog Circuits	12.0	Lec	TR	10:30AM	11:50AM	HH B131	Pittsburgh, Pennsylvania	Mukherjee
 	 	 	A	T	06:30PM	09:20PM	HH A104	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	12:30PM	01:20PM	DH 1211	Pittsburgh, Pennsylvania
 	 	 	B	W	06:30PM	09:20PM	HH A104	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	01:30PM	02:20PM	DH 1211	Pittsburgh, Pennsylvania
 	 	 	C	R	06:30PM	09:20PM	HH A104	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	02:30PM	03:20PM	DH 1211	Pittsburgh, Pennsylvania
18231	Sophomore Projects	1-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hoe
18240	Structure and Design of Digital Systems	12.0	Lec	TR	01:30PM	02:50PM	DH 1212	Pittsburgh, Pennsylvania	Nace
 	 	 	A	T	06:30PM	09:20PM	HH 1305	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	10:30AM	11:20AM	SH 214	Pittsburgh, Pennsylvania
 	 	 	B	W	06:30PM	09:20PM	HH 1305	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	11:30AM	12:20PM	SH 214	Pittsburgh, Pennsylvania
 	 	 	C	R	06:30PM	09:20PM	HH 1305	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	12:30PM	01:20PM	SH 214	Pittsburgh, Pennsylvania
18290	Signals and Systems	12.0	Lec	TR	09:00AM	10:20AM	DH 2315	Pittsburgh, Pennsylvania	Bhagavatula, Yu
 	 	 	A	M	06:30PM	09:20PM	BH 140E	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	09:30AM	10:20AM	PH A20	Pittsburgh, Pennsylvania
 	 	 	B	T	06:30PM	09:20PM	BH 140E	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	10:30AM	11:20AM	PH A20	Pittsburgh, Pennsylvania
 	 	 	C	W	06:30PM	09:20PM	BH 140E	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	11:30AM	12:20PM	PH A19	Pittsburgh, Pennsylvania
 	 	 	D	R	06:30PM	09:20PM	BH 140E	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	12:30PM	01:20PM	PH A19	Pittsburgh, Pennsylvania
18300	Fundamentals of Electromagnetics	12.0	Lec	MW	12:30PM	02:20PM	PH 226A	Pittsburgh, Pennsylvania	Bain
 	 	 	A	F	12:30PM	01:20PM	DH 2105	Pittsburgh, Pennsylvania	Instructor TBA
18320	Microelectronic Circuits	12.0	Lec	MW	10:30AM	12:20PM	PH A18B	Pittsburgh, Pennsylvania	Paramesh
 	 	 	A	M	06:30PM	09:20PM	HH A104	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	10:30AM	11:20AM	DH 1209	Pittsburgh, Pennsylvania
 	 	 	B	F	11:30AM	12:20PM	DH 1209	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	 	F	01:30PM	04:20PM	HH A104	Pittsburgh, Pennsylvania
18331	Junior Projects	0-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hoe
18341	Logic Design and Verification	12.0	Lec	TR	01:30PM	02:50PM	BH A53	Pittsburgh, Pennsylvania	Thomas
 	 	 	A	F	01:30PM	02:20PM	WEH 5403	Pittsburgh, Pennsylvania	Instructor TBA
18342	Fundamentals of Embedded Systems	12.0	Lec	TR	09:00AM	10:20AM	INI DEC	Pittsburgh, Pennsylvania	Gandhi
 	 	 	A	F	10:00AM	10:50AM	INI DEC	Pittsburgh, Pennsylvania	Instructor TBA
18349	Embedded Real-Time Systems	12.0	A	R	10:30AM	11:50AM	BH 136A	Pittsburgh, Pennsylvania	Narasimhan
 	 	 	 	F	10:30AM	11:50AM	BH 136A	Pittsburgh, Pennsylvania
18370	Fundamentals of Control	12.0	Lec	MW	02:30PM	04:20PM	HH B103	Pittsburgh, Pennsylvania	Neuman
 	 	 	A	F	09:30AM	11:20AM	HH 1107	Pittsburgh, Pennsylvania	Instructor TBA
18390	ECE CO-OP	0-3	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hoe
18401	Electromechanics	12.0	Lec	MW	12:30PM	02:20PM	PH 225B	Pittsburgh, Pennsylvania	Gilgunn
 	 	 	A	F	01:30PM	02:20PM	SH 214	Pittsburgh, Pennsylvania	Instructor TBA
18403	Microfabrication Methods and Technology	12.0	A	MW	02:30PM	04:20PM	BH 255A	Pittsburgh, Pennsylvania	Towe
18431	Undergraduate Projects - Senior	1-18	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hoe
18487	Introduction to Computer & Network Security & Applied Cryptography	12.0	A	MW	02:30PM	04:20PM	PH A21	Pittsburgh, Pennsylvania	Brumley
18492	Special Topics: Speech Processing:	12.0	 	 	 	 	 	 
 	Speech Processing	 	A	MWF	03:30PM	04:20PM	DH 1209	Pittsburgh, Pennsylvania	Black
18493	Electroacoustics	12.0	Lec	TR	10:30AM	11:50AM	SH 220	Pittsburgh, Pennsylvania	Sullivan
 	 	 	A	F	10:30AM	11:20AM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
18496	Introduction to Biomedical Imaging and Image Analysis	12.0	A	TR	01:30PM	02:50PM	PH 225B	Pittsburgh, Pennsylvania	Rohde
18499	Internship	0-3	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hoe
18513	RF Circuits and Antennas for Wireless Systems	12.0	A	MW	02:30PM	04:20PM	PH A19A	Pittsburgh, Pennsylvania	Greve
18525	Integrated Circuit Design Project	12.0	A	MW	01:30PM	03:20PM	SH 212	Pittsburgh, Pennsylvania	Mai
18545	Advanced Digital Design Project	12.0	Lec	MW	10:30AM	12:20PM	DH 1217	Pittsburgh, Pennsylvania	Nace
 	 	 	A	TBA			HH 1307	Pittsburgh, Pennsylvania	Instructor TBA
18587	Electrical Energy Conversion, Control and Management	12.0	A	TR	06:30PM	08:20PM	SH 222	Pittsburgh, Pennsylvania	Ilic
18601	Entrepreneurship and Innovation in Technology	12.0	A	T	06:30PM	09:20PM	PH A18C	Pittsburgh, Pennsylvania	Engler
18603	Leadership for Engineers	12.0	A	MW	03:30PM	05:20PM	DH 1112	Pittsburgh, Pennsylvania	Davidson
18614	Microelectromechanical Systems	12.0	A	TR	03:00PM	04:20PM	WEH 5409	Pittsburgh, Pennsylvania	Piazza
18618	Smart Grids and Future Electric Energy Systems	12.0	Lec	TBA			DNM DNM	Pittsburgh, Pennsylvania	Ilic
 	 	 	A	W	05:00PM	06:20PM	WEH 5328	Pittsburgh, Pennsylvania	Ilic
 	 	 	 	F	11:30AM	12:20PM	HH 1107	Pittsburgh, Pennsylvania
18622	Advanced Digital IC Design	12.0	A	MWF	10:30AM	12:20PM	PH A21	Pittsburgh, Pennsylvania	Mai
18623	Analog Integrated Circuit Design	12.0	A	MW	04:30PM	06:20PM	WEH 5421	Pittsburgh, Pennsylvania	Pileggi
18629	Special Topics in Circuits::	12.0	 	 	 	 	 	 
 	Microelectronics & Micromechanical Technologies	 	PP	TBA			TBA	Lisbon, Portugal	Tavares
18631	Introduction to Information Security	12.0	A	TR	07:30PM	08:50PM	CIC 1201	Pittsburgh, Pennsylvania	Christin
18638	Mobile Security	12.0	A	MW	01:30PM	02:50PM	INI DEC	Pittsburgh, Pennsylvania	Tague
 	 	 	SV	MW	10:30AM	11:50AM	B23 211	San Jose, California	Tague
18640	Foundations of Computer Architecture	12.0	A	TR	06:30PM	08:20PM	HH 1107	Pittsburgh, Pennsylvania	Shen
 	 	 	 	W	05:30PM	07:20PM	BH A51	Pittsburgh, Pennsylvania
 	 	 	SV	TR	03:30PM	05:20PM	B23 212	San Jose, California	Shen
 	 	 	 	W	02:30PM	04:20PM	B23 212	San Jose, California
18641	Java Smart Phone Development	12.0	A	MW	12:30PM	02:20PM	HH 1107	Pittsburgh, Pennsylvania	Singh
 	Java Smart Phone Development:	 	 	 	 	 	 	 
 	Java for Smart Phone Development	 	RW	MW	07:30PM	09:50PM	TBA	Kigali, Rwanda	Singh, Bishop
 	 	 	SV	MW	09:30AM	11:20AM	B23 118	San Jose, California	Singh
18644	Special Topics in Computer Systems::	12.0	 	 	 	 	 	 
 	Mobile Hardware for Software Engineers	 	A	MW	02:30PM	04:20PM	HH 1107	Pittsburgh, Pennsylvania	Zhang
 	 	 	SV	MW	11:30AM	01:20PM	B23 118	San Jose, California	Zhang
18648	Embedded Real-Time Systems	12.0	Lec	MW	10:30AM	12:20PM	PH 125C	Pittsburgh, Pennsylvania	Rajkumar
 	 	 	A	R	07:00PM	08:50PM	HH B103	Pittsburgh, Pennsylvania	Instructor TBA
18649	Distributed Embedded Systems	12.0	A	MWF	12:30PM	02:20PM	DH 1212	Pittsburgh, Pennsylvania	Koopman
18652	Foundations of Software Engineering	12.0	A	TR	10:30AM	12:20PM	WEH 5312	Pittsburgh, Pennsylvania	Peraire, Erdogmus
 	 	 	RW	TR	04:30PM	06:20PM	TBA	Kigali, Rwanda	Instructor TBA
 	Foundations of Software Engineering:	 	 	 	 	 	 	 
 	Foundations of Software Engineering	 	SV	TR	09:30AM	11:20AM	TBA	San Jose, California	Peraire, Erdogmus
18655	Service Oriented Computing	12.0	A	MW	03:00PM	04:50PM	BH A53	Pittsburgh, Pennsylvania	Zhang
 	 	 	SV	MW	12:00PM	01:50PM	B23 212	San Jose, California	Zhang
18660	Numerical Methods for Engineering Design and Optimization	12.0	Lec	TBA			DNM DNM	Pittsburgh, Pennsylvania	Li
 	 	 	T	M	10:30AM	11:20AM	HH 1107	Pittsburgh, Pennsylvania	Li
 	 	 	 	M	11:30AM	12:20PM	HH 1107	Pittsburgh, Pennsylvania
18667	Design of Integrated Embedded Systems	12.0	A	MW	02:30PM	04:20PM	SH 220	Pittsburgh, Pennsylvania	Marculescu
18697	Statistical Discovery and Learning	12.0	A	TR	03:00PM	04:20PM	HH 1107	Pittsburgh, Pennsylvania	Mengshoel
 	 	 	SV	TR	12:00PM	01:20PM	B23 211	San Jose, California	Mengshoel
18703	Managing and Leading Research and Development	12.0	A	MW	12:30PM	02:20PM	SH 208	Pittsburgh, Pennsylvania	Kryder
18723	RFIC Design and Implementation	12.0	A	MW	12:30PM	02:20PM	WEH 5328	Pittsburgh, Pennsylvania	Carley
18730	Introduction to Computer Security	12.0	A	MW	02:30PM	04:20PM	SH 125	Pittsburgh, Pennsylvania	Gligor
 	 	 	 	F	11:30AM	12:20PM	SH 125	Pittsburgh, Pennsylvania
18734	Foundation of Privacy	12.0	A	MW	04:30PM	06:20PM	HH 1107	Pittsburgh, Pennsylvania	Datta
 	 	 	 	F	12:30PM	02:20PM	HH 1107	Pittsburgh, Pennsylvania
 	 	 	SV	MW	01:30PM	03:20PM	B23 211	San Jose, California	Datta
 	 	 	 	F	09:30AM	11:20AM	B23 212	San Jose, California
18742	Parallel Computer Architecture	12.0	Lec	TBA			TBA	Pittsburgh, Pennsylvania	Mutlu
 	 	 	A	W	10:30AM	12:20PM	SH 222	Pittsburgh, Pennsylvania	Instructor TBA
18743	Energy Aware Computing	12.0	A	TR	01:30PM	02:50PM	HH 1107	Pittsburgh, Pennsylvania	Marculescu
 	 	 	SV	TR	10:30AM	11:50AM	B23 212	San Jose, California	Marculescu
18751	Applied Stochastic Processes	12.0	A	MW	10:30AM	12:20PM	DH 1117	Pittsburgh, Pennsylvania	Tonguz
 	 	 	 	R	06:00PM	07:20PM	PH A18C	Pittsburgh, Pennsylvania
 	 	 	SV	MWF	10:00AM	11:50AM	B23 211	San Jose, California	Yagan
18756	Packet Switching and Computer Networks:	12.0	 	 	 	 	 	 
 	Packet Switching and Computer Networks	 	R	TR	02:00PM	03:50PM	TBA	Kigali, Rwanda	Brown
 	 	 	Lec	MW	09:30AM	11:20AM	BH A53	Pittsburgh, Pennsylvania	Kim
 	 	 	A	F	08:30AM	09:20AM	PH 226A	Pittsburgh, Pennsylvania	Instructor TBA
18758	Wireless Communications	12.0	A	TR	01:30PM	02:50PM	PH A21	Pittsburgh, Pennsylvania	Negi
18765	Digital System Testing and Testable Design	12.0	PP	R	09:00AM	11:50AM	DNM DNM	Lisbon, Portugal	Machado Da Silva
18769	Design for Manufacturability in Nanometer Era	12.0	A	MW	12:30PM	02:20PM	PH A22	Pittsburgh, Pennsylvania	Strojwas
18771	Linear Systems	12.0	A	MW	02:30PM	04:20PM	WEH 5421	Pittsburgh, Pennsylvania	Sinopoli
 	 	 	 	F	02:30PM	03:50PM	PH A19	Pittsburgh, Pennsylvania
18781	Speech Recognition and Understanding	12.0	A	MW	04:30PM	05:50PM	GHC 4101	Pittsburgh, Pennsylvania	Lane, Metze
18782	Machine Learning	12.0	PP	TBA			TBA	Lisbon, Portugal	Cardoso
18792	Advanced Digital Signal Processing	12.0	Lec	TR	10:30AM	12:20PM	TBD TBD	Pittsburgh, Pennsylvania	Stern
 	 	 	A	F	10:30AM	12:20PM	PH 226B	Pittsburgh, Pennsylvania	Instructor TBA
18794	Pattern Recognition Theory	12.0	A	M	04:30PM	06:20PM	PH A18C	Pittsburgh, Pennsylvania	Savvides
 	 	 	 	F	12:30PM	02:20PM	WEH 4623	Pittsburgh, Pennsylvania
18797	Machine Learning for Signal Processing	12.0	A	TR	03:00PM	04:20PM	WEH 4623	Pittsburgh, Pennsylvania	Ramakrishnan
 	 	 	SV	TR	12:00PM	01:20PM	B23 212	San Jose, California	Ramakrishnan
18798	Image, Video, and Multimedia	12.0	A	TR	06:00PM	07:20PM	GHC 4215	Pittsburgh, Pennsylvania	Cai
18799	Special Topics in Signal Processing:	12.0	 	 	 	 	 	 
 	Evolutionary Algorithms in Engineering Optimization	 	SX	MW	02:00PM	03:20PM	B23 109	San Jose, California	Lohn
 	Special Topics in Signal Processing:	 	 	 	 	 	 	 
 	Evolutionary Algorithms in Engineering Optimization	 	X	MW	05:00PM	06:20PM	WEH 4623	Pittsburgh, Pennsylvania	Lohn
18819	Special Topics in Applied Physics:	12.0	 	 	 	 	 	 
 	Beyond CMOS Devices and Circuits	 	K	TR	03:00PM	04:20PM	DH 1217	Pittsburgh, Pennsylvania	Weldon
18843	Mobile and Pervasive Computing	12.0	A	T	03:00PM	05:50PM	GHC 4303	Pittsburgh, Pennsylvania	Satyanarayanan, Siewiorek
18848	Special Topics in Embedded Systems:	12.0	 	 	 	 	 	 
 	Networked Cyber-Physical Systems	 	C	TR	04:30PM	05:50PM	DH 1217	Pittsburgh, Pennsylvania	Rowe
18859	Special Topics in Communications	12.0	PI	TBA			TBA	Lisbon, Portugal	Aguiar
18879	Special Topics in Systems and Controls:	12.0	 	 	 	 	 	 
 	Computer Control Engineering	 	A	MW	09:00AM	10:20AM	HH 1107	Pittsburgh, Pennsylvania	Neuman
18882	A Special Topics in Energy Systems:	12.0	 	 	 	 	 	 
 	Power Electronics	 	A	TR	04:30PM	06:20PM	PH A20A	Pittsburgh, Pennsylvania	Ilic
 	 	 	 	R	03:00PM	04:20PM	PH A20A	Pittsburgh, Pennsylvania
 	A Special Topics in Energy Systems:	 	 	 	 	 	 	 
 	Special Topics in Energy Systems: Microgrids and New Generation Power Systems	 	R	TR	04:00PM	05:20PM	TBA	Kigali, Rwanda	Instructor TBA
 	 	 	 	W	09:00AM	09:50AM	TBA	Kigali, Rwanda
18899	Special Topics in Signal Processing:	12.0	 	 	 	 	 	 
 	Special Topics in Signal Processing :Applied Time Series Analysis	 	A	TR	08:30AM	11:20AM	INI DEC	Pittsburgh, Pennsylvania	Instructor TBA
 	Special Topics in Signal Processing:	 	 	 	 	 	 	 
 	Special Topics in Signal Processing: Applied Time Series Analysis	 	RA	TBA			TBA	Kigali, Rwanda	Instructor TBA
18901	Graduate Seminar	0.0	A	R	03:30PM	06:20PM	SH 125	Pittsburgh, Pennsylvania	Instructor TBA
