Run Date: 27-apr-2014 
Semester: Spring 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
48395	Creator Square	VAR	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48408	Theater Architecture	6.0	A3	TR	01:30PM	02:50PM	PCA 103	Pittsburgh, Pennsylvania	Block, Hayes
48410	Architecture Design Studio: Computational Design Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Bard
48411	Architecture Design Studio: Sustainable Design Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Clifford, Cupkova, Melendez
 	 	 	B	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48412	Architecture Design Studio: Urban Laboratory	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Danes
48413	Architecture Design Studio: Critical Practice Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Hayes
48414	Architecture Design Studio: Urban Design Build Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Folan
48415	Architecture Design Studio: Speculative Design Studio	6.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48426	Digital Craft: Casting Architectural Assemblies	9.0	A	T	06:30PM	09:20PM	CFA 206A	Pittsburgh, Pennsylvania	Melendez
48440	American Regionalism	9.0	A	TR	10:30AM	11:50AM	TBA	Pittsburgh, Pennsylvania	Shaw
48448	History of Sustainable Architecture	9.0	A	TR	12:00PM	01:20PM	CFA 102	Pittsburgh, Pennsylvania	Rosenblum
48450	Architecture Design Studio: Fourth Year	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48451	Incompletion and the Embodied Experience in Architecture	9.0	A	TR	01:30PM	02:50PM	MM 203	Pittsburgh, Pennsylvania	Lubetz
48455	Advanced Structures	9.0	A	TR	03:00PM	04:20PM	DH 1117	Pittsburgh, Pennsylvania	Oppenheim
48468	Synthetic Flows	9.0	A	M	01:30PM	04:20PM	CFA 213	Pittsburgh, Pennsylvania	Cupkova
48478	Digital Tooling	6.0	A3	MWF	10:30AM	11:20AM	MM C4	Pittsburgh, Pennsylvania	Ali
48497	Thesis Prep	3.0	A	M	03:00PM	04:20PM	MM 303	Pittsburgh, Pennsylvania	Gutschow
48510	Architecture Design Studio: Computational Design Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Bard
48511	architecture design studio: Sustainable design studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Clifford, Cupkova, Melendez
 	 	 	B	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48512	Architecture Design Studio: Urban Laboratory	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Danes
48513	Architecture Design Studio: Critical Practice Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Hayes
48514	Architecture Design Studio: Urban Design Build Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Folan
48515	architecture design studio: speculative studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48519	Architecture Design Studio: Thesis II	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Kline, Gutschow
48520	UDBS Value Added Construction	6.0	A	F	03:00PM	04:20PM	OFF CAMP	Pittsburgh, Pennsylvania	Folan
48521	UDBS Construction Administrations	VAR	A	M	02:00PM	04:20PM	OFF CAMP	Pittsburgh, Pennsylvania	Folan
48530	Robotics and Fabrication Affordance in Digital Design	9.0	A	T	09:00AM	11:50AM	MM C4	Pittsburgh, Pennsylvania	Bard
48539	Haptic Actions: Special Topics in Tangible Interaction Design	VAR	A	TR	01:30PM	03:20PM	CFA 212	Pittsburgh, Pennsylvania	Barbuto, Jacobson-Weaver
48564	Furniture Design & Construction	9.0	A	TR	10:30AM	11:50AM	CFA SHOP	Pittsburgh, Pennsylvania	Smith
48569	GIS/CAFM	9.0	A	TR	01:30PM	02:50PM	WEH 5202	Pittsburgh, Pennsylvania	Kurland
48576	Mapping Urbanism	9.0	W	M	03:00PM	05:50PM	CMB 1030	Doha, Qatar	Hutzell
48579	Middle Eastern Cities: Case Studies from Two Centuries of Urban History	9.0	W	U	03:30PM	06:20PM	CMB 1030	Doha, Qatar	El Samahy
48587	Architecture Lighting Design	9.0	A	TR	01:30PM	02:50PM	PCA 211	Pittsburgh, Pennsylvania	Limauro
48599	Independent Study	3-9	A	TBA			TBA	Pittsburgh, Pennsylvania	Lee, Smith
 	 	 	B	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
 	 	 	W	TBA			TBA	Doha, Qatar	Hutzell
48601	Architecture Design Studio	18.0	A	MWF	12:30PM	04:20PM	CFA 200	Pittsburgh, Pennsylvania	Instructor TBA
48686	Synthetic Flows	9.0	A	M	01:30PM	04:20PM	CFA 213	Pittsburgh, Pennsylvania	Cupkova
48700	Practicum	0-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48703	Master's Project	18-36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48706	Urban Design Studio	18.0	A	MWF	01:30PM	04:20PM	MM 308	Pittsburgh, Pennsylvania	Quick
48711	Paradigms of Research in Architecture	6.0	A3	TR	03:00PM	04:30PM	MM 203	Pittsburgh, Pennsylvania	Akin
48712	MUD Graduate Seminar	3-9	A	F	10:30AM	11:50AM	CFA 213	Pittsburgh, Pennsylvania	Carter
48721	Building Controls and Diagnostics	12.0	A	TR	09:00AM	10:20AM	MM 415IW	Pittsburgh, Pennsylvania	Lam
48723	Performance of Advanced Building Systems	9.0	A	TR	10:30AM	11:50AM	MM 415IW	Pittsburgh, Pennsylvania	Hartkopf
48724	Scripting and Parametric Design	6-12	A	R	01:30PM	04:20PM	CFA 317	Pittsburgh, Pennsylvania	Krishnamurti, Bard
48731	Sustainable Design Synthesis Prep	12.0	A	TBA			MM 415IW	Pittsburgh, Pennsylvania	Loftness
48732	Sustainable Design Synthesis	VAR	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48736	MS Independent Study	0-99	A	TBA			TBA	Pittsburgh, Pennsylvania	Abdul-Aziz
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Carter
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Hartkopf
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Oppenheim
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Folan
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Lam
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Clifford
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Gross
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Akin
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Krishnamurti
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Lee
 	 	 	V	TBA			TBA	Pittsburgh, Pennsylvania	Loftness
 	 	 	X	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48752	Zero Energy Housing	9.0	A	TR	03:00PM	04:20PM	MM 415IW	Pittsburgh, Pennsylvania	Baird
48764	Special Topics in AECM: BIM	9.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Biswas
48766	AEC Synthesis	6.0	A4	TR	03:00PM	04:20PM	MM 203	Pittsburgh, Pennsylvania	Akin
48769	Thesis/Project	18.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Clifford
48781	Spatial Analysis in Infrastructure Planning	12.0	A	TR	01:30PM	02:50PM	WEH 5202	Pittsburgh, Pennsylvania	Kurland
48792	Ph.D. Independent Study	0-99	A	TBA			TBA	Pittsburgh, Pennsylvania	Abdul-Aziz
 	 	 	D	TBA			TBA	Pittsburgh, Pennsylvania	Carter
 	 	 	H	TBA			TBA	Pittsburgh, Pennsylvania	Hartkopf
 	 	 	I	TBA			TBA	Pittsburgh, Pennsylvania	Oppenheim
 	 	 	J	TBA			TBA	Pittsburgh, Pennsylvania	Folan
 	 	 	K	TBA			TBA	Pittsburgh, Pennsylvania	Lam
 	 	 	L	TBA			TBA	Pittsburgh, Pennsylvania	Clifford
 	 	 	M	TBA			TBA	Pittsburgh, Pennsylvania	Gross
 	 	 	O	TBA			TBA	Pittsburgh, Pennsylvania	Akin
 	 	 	R	TBA			TBA	Pittsburgh, Pennsylvania	Krishnamurti
 	 	 	S	TBA			TBA	Pittsburgh, Pennsylvania	Lee
 	 	 	V	TBA			TBA	Pittsburgh, Pennsylvania	Loftness
 	 	 	X	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48793	Ph.D. Thesis	36.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
48795	LEED, Green Design and Building Rating in Global Context	6.0	A3	TR	01:30PM	02:50PM	MM 415IW	Pittsburgh, Pennsylvania	Baird
48797	PhD Dissertation Defense	5.0,36	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
Art	 	 	 	 	 	 	 	 	 	 
60051	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Instructor TBA
60109	Adventures in Arts Time	9.0	A	F	01:30PM	04:20PM	OFF CAMP	Pittsburgh, Pennsylvania	Burgess, Versari
60110	Electronic Media Studio: Introduction to the Moving Image	10.0	A	MW	08:30AM	11:20AM	CFA 318	Pittsburgh, Pennsylvania	Andrew
 	 	 	B	MW	01:30PM	04:20PM	CFA 318	Pittsburgh, Pennsylvania	Pedercini
 	 	 	C	TR	08:30AM	11:20AM	CFA 318	Pittsburgh, Pennsylvania	Silver
60131	3D Media Studio II:	5.0	 	 	 	 	 	 
 	Move It	 	B3	MW	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Armistead
 	3D Media Studio II:	 	 	 	 	 	 	 
